用户ID,房产信用评分
553081,78.74
620729,89.54
473511,73.21
700187,85.25
172276,32.89
403752,27.49
393790,28.71
621498,31.41
620562,82.98
473577,68.54
175742,75.99
325477,80.98
540314,19.77
174799,93.02
484995,73.14
538587,79.35
241217,76.12
241218,75.61
241219,75.61
789751,45.29
483215,74.0
545789,78.95
399513,64.19
167947,69.59
545788,79.33
704844,84.74
235154,76.25
477586,74.38
153402,91.97
166953,92.59
316083,82.34
166946,91.83
235148,76.03
166947,90.97
478217,73.86
397894,86.84
545804,56.65
545805,79.51
623714,90.39
405448,87.83
484970,74.4
242898,70.1
546569,79.35
475124,67.32
701792,81.93
163810,74.89
624634,88.85
242111,75.24
322127,82.1
789266,67.63
323874,80.2
619877,88.46
173025,92.95
550049,79.36
174792,89.37
174793,76.03
405606,86.49
323039,81.99
481638,55.43
159536,79.74
167968,92.52
159535,92.34
547395,79.52
171363,67.39
619871,82.32
160072,39.83
231048,32.45
475152,29.75
241139,56.59
696100,85.01
321135,79.23
321136,78.16
482412,72.98
321129,77.28
550048,78.31
321134,82.06
702563,85.25
617306,90.48
623079,90.73
313687,82.6
395472,88.01
793518,69.1
231053,77.03
312921,82.59
163647,93.44
701821,85.22
622361,90.75
315216,82.45
553811,78.8
393802,87.62
473624,72.79
244545,76.82
316138,82.11
159612,90.08
168808,92.0
807177,68.69
235949,76.64
316935,80.93
479170,71.63
236805,23.52
236808,16.69
479167,74.4
159529,93.19
787554,69.08
705784,24.79
626201,71.63
399514,87.11
317717,81.29
167945,71.91
317715,61.11
626193,90.56
807580,71.62
236807,72.29
399512,87.9
399511,64.19
704861,84.23
153405,92.33
235178,76.81
398684,85.59
553812,30.54
171350,90.92
481673,73.34
788059,66.07
398599,87.39
398600,86.94
478279,73.97
318710,81.6
399489,86.57
546732,78.47
546733,78.63
480720,73.89
172325,82.75
322014,71.95
475268,40.97
231897,70.92
706475,84.24
236904,70.92
168746,92.13
706533,84.03
398736,87.01
479032,73.51
234418,75.52
545096,75.69
317774,78.32
706441,84.33
479209,72.53
624650,87.24
173953,59.87
235192,29.47
705625,85.23
398715,87.92
236002,77.19
478395,74.42
167918,82.72
236133,77.05
399488,87.87
705688,84.57
625484,89.97
236080,77.15
403895,87.41
479159,14.36
625478,71.63
171414,92.51
807182,70.65
398683,86.85
544999,79.66
545004,78.31
315240,82.45
477385,74.31
315241,82.41
624546,90.37
704141,84.73
545080,78.95
166206,92.99
477497,74.09
546668,79.28
625473,90.31
315964,82.36
234381,76.79
167946,67.42
626195,60.41
236794,17.06
546748,19.77
231054,77.21
622360,90.71
701822,85.34
402169,87.18
238582,76.04
479172,73.56
399519,86.66
548233,77.94
701823,85.11
484998,73.52
484999,73.3
540204,78.92
323857,77.3
479974,73.73
705807,81.71
625476,79.16
479055,74.04
617251,66.89
320454,63.53
171349,83.51
320406,72.71
475953,71.72
475954,71.99
242080,42.78
396218,72.99
623180,78.17
618165,90.44
706605,84.85
706606,85.01
155161,91.95
780367,67.55
398629,85.89
545888,79.87
167048,92.95
545889,79.37
239504,76.09
628796,89.75
167015,93.33
316970,78.0
705681,84.14
172129,83.78
321159,79.44
547464,77.98
479231,57.58
167839,92.85
242864,76.59
478321,67.69
316814,75.79
323044,72.94
316941,81.33
153484,92.87
705650,84.77
236041,75.93
475958,70.22
243830,72.58
316945,81.31
479045,73.15
398745,87.22
550075,19.77
166183,70.15
624507,90.31
704119,62.05
157612,90.04
540155,79.53
236121,58.26
546657,78.3
625462,89.1
479233,36.15
547466,55.14
317711,54.59
483207,55.43
312903,79.86
789255,56.12
239505,53.39
171368,69.59
477664,74.52
705719,77.76
479113,59.49
479118,27.55
399451,44.94
167917,92.38
706597,85.27
318547,80.75
318548,80.31
400358,87.06
318733,78.3
237820,76.7
627781,89.96
808380,71.46
707381,83.03
707382,82.08
403007,84.64
316166,82.53
397928,87.92
557212,79.74
316167,82.63
477663,74.44
316168,82.49
477665,74.52
706634,84.27
400426,82.68
242045,70.92
153175,73.41
622356,70.71
244650,74.8
622206,88.3
622207,90.35
313741,81.8
702635,84.5
395507,85.92
322173,27.3
403714,86.97
550806,79.63
320409,81.41
239485,74.93
171351,89.17
699268,82.29
394495,87.83
474308,74.31
325625,81.12
318608,82.52
622365,90.73
554713,79.47
695942,84.14
546605,79.53
398722,86.99
236012,76.14
702580,40.55
792590,32.23
322132,81.54
548319,79.13
695127,72.23
548274,79.41
550039,79.72
157681,92.88
241168,62.19
483333,59.49
550901,72.18
624599,90.15
774883,18.94
482405,72.99
313788,82.02
555518,36.84
696052,84.03
627802,79.66
401188,76.96
810914,71.67
618965,90.68
623848,75.72
164594,85.13
241199,67.54
483310,69.2
173006,88.1
483311,71.92
236966,16.69
166119,90.96
480739,74.05
477503,71.61
624557,90.46
624558,89.16
545088,66.98
168827,32.89
548222,19.77
236097,74.13
399575,78.34
234230,75.66
396996,85.17
480686,74.4
707339,84.83
627124,80.83
548293,77.03
400460,86.84
548294,78.74
548249,78.08
400429,86.84
549097,70.98
316911,80.82
700090,81.22
175630,93.33
243727,72.3
700091,80.4
322135,40.83
773886,67.74
478409,74.21
167822,92.67
167823,92.69
697647,83.52
697648,83.52
173107,80.48
316066,81.91
704831,84.81
235120,76.97
316060,81.5
700949,24.79
480683,73.37
237831,74.27
773031,8.59
548311,70.24
702721,77.13
231976,76.82
237847,76.88
234342,72.96
480786,74.09
169697,92.42
247396,70.39
314657,75.79
247397,73.65
247398,67.54
775842,59.38
231986,74.26
703980,85.23
239441,76.32
239442,74.98
315169,82.53
628610,90.51
628611,90.56
165462,54.22
165463,54.22
247464,67.5
165345,89.41
314619,81.89
396371,54.47
556300,46.37
479868,48.52
553094,60.83
622363,85.03
231050,77.24
167956,91.57
546758,78.07
619071,50.68
484820,48.52
173934,93.21
624541,89.86
706440,76.85
168639,91.68
399569,87.69
479204,74.08
704090,83.71
315272,81.01
695259,42.24
702714,84.2
397709,87.58
623813,89.33
234310,75.3
235222,76.94
545843,78.15
704886,84.79
545844,78.15
555544,79.22
315211,80.88
704014,84.94
404731,82.44
476074,72.54
175650,90.48
243748,76.44
553009,79.06
774884,57.0
242145,76.12
554819,76.42
238715,23.52
320301,28.92
401285,84.29
627881,88.46
170397,91.83
627882,89.25
811724,71.77
794819,54.68
164640,93.04
232046,77.06
314549,82.34
169587,81.53
549108,63.89
627911,89.21
627912,89.21
169679,92.65
169680,90.93
480758,73.75
803430,52.73
315257,82.34
315258,82.05
397728,86.63
477396,73.13
239467,76.84
399499,85.42
480816,69.31
319560,80.78
393631,61.99
405469,87.57
696795,83.32
550786,77.92
236878,76.37
316037,81.3
704111,84.25
166136,92.0
315246,81.2
315247,81.03
545013,78.33
483251,66.7
539408,78.1
405446,85.64
539443,79.78
232037,62.07
155008,77.18
703383,83.81
396287,84.59
314510,80.89
